iter	Passed	Remaining
0	9	4721
1	12	3090
2	14	2450
3	17	2115
4	19	1934
5	21	1801
6	24	1696
7	26	1623
8	28	1566
9	31	1526
10	34	1531
11	36	1501
12	39	1470
13	41	1439
14	43	1418
15	46	1392
16	48	1371
17	51	1387
18	54	1380
19	56	1362
20	58	1342
21	61	1335
22	63	1320
23	65	1307
24	68	1293
25	70	1280
26	72	1271
27	75	1267
28	77	1259
29	79	1250
30	82	1247
31	84	1241
32	86	1231
33	89	1222
34	91	1212
35	93	1204
36	95	1197
37	97	1191
38	102	1208
39	104	1201
40	106	1194
41	109	1190
42	111	1183
43	113	1176
44	115	1168
45	117	1162
46	120	1156
47	122	1149
48	124	1145
49	126	1138
50	128	1133
51	130	1128
52	132	1121
53	135	1116
54	137	1112
55	139	1105
56	141	1100
57	143	1094
58	145	1088
59	147	1082
60	158	1141
61	160	1135
62	164	1143
63	167	1138
64	169	1132
65	171	1127
66	173	1123
67	175	1117
68	178	1114
69	180	1108
70	182	1103
71	184	1099
72	187	1095
73	197	1136
74	199	1132
75	204	1141
76	207	1141
77	210	1140
78	217	1157
79	222	1167
80	225	1165
81	229	1168
82	231	1164
83	233	1158
84	237	1158
85	241	1163
86	243	1156
87	245	1150
88	247	1144
89	249	1138
90	252	1133
91	254	1127
92	256	1122
93	258	1117
94	261	1113
95	263	1107
96	265	1101
97	267	1095
98	269	1089
99	271	1084
100	273	1079
101	275	1073
102	277	1069
103	279	1064
104	282	1063
105	285	1059
106	287	1054
107	289	1049
108	291	1044
109	293	1039
110	295	1034
111	297	1030
112	299	1025
113	301	1021
114	303	1017
115	306	1013
116	308	1009
117	310	1005
118	312	1001
119	315	997
120	317	993
121	319	989
122	322	987
123	325	987
124	328	984
125	330	981
126	333	978
127	335	975
128	338	973
129	340	969
130	343	966
131	345	962
132	347	959
133	350	958
134	352	954
135	356	954
136	359	953
137	362	949
138	364	946
139	367	945
140	369	941
141	371	937
142	374	933
143	377	933
144	380	931
145	382	927
146	385	925
147	388	924
148	390	920
149	392	916
150	396	917
151	399	914
152	402	912
153	404	908
154	406	904
155	408	900
156	410	897
157	412	893
158	414	889
159	416	885
160	418	881
161	420	878
162	422	874
163	424	870
164	427	866
165	429	863
166	431	859
167	433	856
168	435	853
169	437	849
170	439	846
171	441	842
172	444	839
173	447	839
174	450	837
175	452	833
176	455	830
177	457	826
178	460	825
179	462	822
180	464	818
181	466	815
182	468	812
183	471	809
184	473	805
185	475	802
186	477	799
187	479	796
188	482	793
189	484	789
190	486	786
191	488	783
192	490	779
193	493	778
194	495	775
195	497	772
196	499	768
197	501	765
198	504	762
199	507	760
200	510	759
201	514	758
202	516	755
203	519	753
204	521	750
205	523	747
206	525	744
207	527	740
208	529	737
209	532	734
210	534	732
211	536	728
212	538	725
213	540	722
214	542	719
215	544	716
216	546	713
217	548	709
218	550	706
219	552	703
220	555	700
221	557	697
222	559	694
223	561	692
224	563	689
225	565	686
226	568	683
227	570	680
228	572	677
229	574	674
230	576	671
231	578	668
232	580	665
233	582	662
234	584	659
235	586	656
236	589	653
237	591	651
238	593	648
239	595	645
240	597	642
241	599	639
242	602	637
243	604	634
244	607	632
245	609	629
246	612	626
247	614	624
248	616	621
249	618	618
250	620	615
251	622	613
252	625	610
253	627	608
254	630	605
255	632	603
256	635	600
257	637	598
258	641	597
259	645	596
260	648	593
261	650	591
262	652	587
263	654	585
264	664	589
265	680	599
266	683	596
267	685	593
268	688	591
269	694	591
270	698	589
271	701	587
272	704	585
273	706	582
274	709	580
275	711	577
276	713	574
277	716	571
278	718	569
279	720	566
280	722	563
281	725	560
282	728	558
283	730	555
284	732	552
285	734	549
286	736	546
287	738	543
288	740	540
289	743	538
290	746	535
291	749	533
292	751	531
293	753	528
294	755	525
295	758	522
296	760	519
297	762	516
298	764	514
299	767	511
300	769	508
301	771	505
302	773	503
303	775	500
304	777	497
305	779	494
306	781	491
307	783	488
308	786	485
309	788	483
310	790	480
311	792	477
312	794	474
313	796	471
314	798	469
315	800	466
316	803	464
317	805	461
318	808	458
319	810	455
320	812	452
321	814	450
322	816	447
323	819	444
324	821	442
325	823	439
326	825	436
327	827	434
328	830	431
329	833	429
330	837	427
331	839	424
332	841	421
333	844	419
334	846	417
335	849	414
336	851	411
337	853	409
338	856	406
339	858	404
340	860	401
341	863	398
342	865	396
343	867	393
344	869	390
345	871	387
346	873	385
347	875	382
348	878	379
349	880	377
350	883	374
351	885	372
352	887	369
353	889	366
354	891	364
355	894	361
356	896	358
357	898	356
358	900	353
359	902	350
360	905	348
361	907	346
362	910	343
363	912	340
364	914	338
365	917	335
366	919	333
367	923	331
368	925	328
369	928	326
370	930	323
371	932	320
372	934	318
373	937	315
374	939	313
375	941	310
376	944	308
377	946	305
378	948	302
379	950	300
380	952	297
381	954	294
382	956	292
383	958	289
384	961	287
385	963	284
386	965	281
387	967	279
388	979	279
389	981	276
390	983	274
391	986	271
392	988	269
393	991	266
394	996	264
395	998	262
396	1000	259
397	1002	257
398	1004	254
399	1007	251
400	1009	249
401	1011	246
402	1013	243
403	1015	241
404	1017	238
405	1019	236
406	1021	233
407	1023	230
408	1025	228
409	1027	225
410	1029	222
411	1032	220
412	1034	217
413	1037	215
414	1039	213
415	1041	210
416	1044	207
417	1048	205
418	1051	203
419	1054	200
420	1055	198
421	1057	195
422	1060	192
423	1069	191
424	1076	189
425	1079	187
426	1081	184
427	1083	182
428	1086	179
429	1088	177
430	1091	174
431	1094	172
432	1096	169
433	1098	166
434	1100	164
435	1102	161
436	1104	159
437	1106	156
438	1109	154
439	1111	151
440	1113	148
441	1115	146
442	1117	143
443	1119	141
444	1121	138
445	1124	136
446	1126	133
447	1128	130
448	1130	128
449	1132	125
450	1134	123
451	1136	120
452	1138	118
453	1141	115
454	1144	113
455	1146	110
456	1158	108
457	1160	106
458	1162	103
459	1166	101
460	1168	98
461	1170	96
462	1172	93
463	1175	91
464	1179	88
465	1181	86
466	1183	83
467	1185	81
468	1188	78
469	1190	75
470	1193	73
471	1195	70
