iter	RMSE
0	19.52634142
1	19.41509693
2	19.32031854
3	19.21265969
4	19.13285078
5	19.04308168
6	18.93905314
7	18.86799572
8	18.73670606
9	18.60337006
10	18.5165953
11	18.46296082
12	18.35865812
13	18.21911149
14	18.1678969
15	18.09346819
16	17.98026288
17	17.88186119
18	17.82015198
19	17.73433373
20	17.66160513
21	17.61540418
22	17.51529525
23	17.44072921
24	17.33905333
25	17.24621201
26	17.16572181
27	17.08911996
28	17.04323858
29	16.98406848
30	16.89786935
31	16.80158002
32	16.74523667
33	16.68380401
34	16.59994362
35	16.53855457
36	16.47347212
37	16.44498514
38	16.38347358
39	16.32693033
40	16.26195929
41	16.20288262
42	16.13421491
43	16.08176559
44	16.03935866
45	16.00465442
46	15.95209732
47	15.88040319
48	15.83012862
49	15.73808924
50	15.68375829
51	15.64510375
52	15.57137337
53	15.52817006
54	15.46676261
55	15.40914733
56	15.3505853
57	15.27626476
58	15.23221246
59	15.18256636
60	15.11649498
61	15.06150732
62	15.0323328
63	14.99106411
64	14.9512055
65	14.8844826
66	14.85389399
67	14.79067436
68	14.74318485
69	14.69027911
70	14.64893709
71	14.61651596
72	14.57252415
73	14.53953839
74	14.50453897
75	14.45153202
76	14.41666032
77	14.3845389
78	14.35015965
79	14.30349242
80	14.26059783
81	14.21842286
82	14.19172512
83	14.13708278
84	14.09726716
85	14.0638966
86	14.04103267
87	14.00925425
88	13.9725242
89	13.95659419
90	13.90982395
91	13.88455314
92	13.83663573
93	13.79674543
94	13.752736
95	13.71998065
96	13.66925578
97	13.63656453
98	13.60948765
99	13.58456302
100	13.55174689
101	13.51343776
102	13.48035903
103	13.45622245
104	13.43066658
105	13.38745046
106	13.34422166
107	13.30811397
108	13.27680346
109	13.24352382
110	13.21515918
111	13.17783984
112	13.13780721
113	13.10847335
114	13.0730238
115	13.05484941
116	12.99973493
117	12.96391714
118	12.92819407
119	12.88603944
120	12.8480594
121	12.81172633
122	12.79005003
123	12.75167067
124	12.72711511
125	12.68939672
126	12.65746047
127	12.62743704
128	12.59202818
129	12.55909173
130	12.52435281
131	12.49803038
132	12.49052587
133	12.45345063
134	12.42690608
135	12.39600929
136	12.3492432
137	12.31714954
138	12.28413354
139	12.25464064
140	12.2377289
141	12.21122875
142	12.18659953
143	12.15053406
144	12.12713173
145	12.10098298
146	12.0669324
147	12.03025407
148	12.01179054
149	11.98783699
150	11.96157742
151	11.93664098
152	11.90087257
153	11.87076278
154	11.83886432
155	11.81661333
156	11.78803587
157	11.75436178
158	11.72817441
159	11.6956851
160	11.67777171
161	11.65616301
162	11.63461397
163	11.59753243
164	11.57862017
165	11.55398267
166	11.52729859
167	11.50814946
168	11.48287747
169	11.44688769
170	11.40728426
171	11.37259164
172	11.33616031
173	11.32261513
174	11.29841327
175	11.26723253
176	11.24062897
177	11.21631146
178	11.18225513
179	11.15427997
180	11.13859543
181	11.09877357
182	11.06744624
183	11.04903063
184	11.02499754
185	10.98799129
186	10.96815139
187	10.93859234
188	10.91553387
189	10.88794383
190	10.87334547
191	10.84597103
192	10.82762631
193	10.80651665
194	10.78357022
195	10.76370568
196	10.7470597
197	10.7045722
198	10.68021115
199	10.64676739
200	10.62596561
201	10.58060823
202	10.55778142
203	10.5362458
204	10.5109844
205	10.50085935
206	10.47686086
207	10.45441916
208	10.4451175
209	10.42742303
210	10.39518994
211	10.37558309
212	10.35596788
213	10.33012214
214	10.30560522
215	10.28098427
216	10.23347813
217	10.20611707
218	10.19162288
219	10.17530323
220	10.15395994
221	10.1393364
222	10.12820878
223	10.10528836
224	10.07025806
225	10.04694582
226	10.00663727
227	9.98094486
228	9.955446717
229	9.944121735
230	9.932229886
231	9.908658508
232	9.900566029
233	9.876004674
234	9.83669738
235	9.819305908
236	9.78209181
237	9.777031334
238	9.753399798
