iter	Passed	Remaining
0	4	2336
1	6	1716
2	9	1491
3	11	1364
4	12	1279
5	14	1225
6	16	1183
7	18	1152
8	20	1119
9	22	1092
10	24	1076
11	26	1058
12	27	1043
13	29	1029
14	33	1074
15	35	1073
16	37	1066
17	39	1061
18	41	1054
19	43	1046
20	45	1040
21	48	1053
22	50	1049
23	52	1046
24	54	1043
25	57	1042
26	59	1042
27	61	1039
28	63	1037
29	66	1035
30	68	1031
31	70	1028
32	72	1024
33	74	1022
34	76	1019
35	78	1015
36	80	1011
37	82	1007
38	84	1003
39	86	999
40	88	995
41	90	991
42	92	986
43	94	982
44	96	979
45	98	975
46	100	972
47	103	970
48	105	967
49	107	964
50	109	960
51	111	957
52	113	955
53	115	952
54	117	950
55	119	947
56	121	944
57	123	941
58	125	939
59	127	936
60	129	933
61	131	929
62	133	927
63	135	924
64	137	922
65	139	919
66	141	916
67	143	913
68	145	910
69	147	908
70	149	905
71	151	903
72	154	904
73	156	901
74	158	898
75	161	900
76	163	899
77	165	897
78	167	894
79	169	891
80	171	889
81	173	886
82	176	887
83	178	885
84	180	882
85	182	879
86	184	876
87	186	873
88	188	870
89	190	867
90	192	864
91	194	861
92	196	858
93	198	856
94	200	854
95	202	851
96	204	848
97	206	847
98	208	844
99	210	842
100	212	839
101	214	836
102	216	833
103	218	831
104	220	828
105	222	826
106	224	823
107	226	820
108	228	818
109	230	815
110	231	812
111	233	810
112	236	808
113	238	805
114	239	803
115	242	801
116	243	798
117	245	795
118	247	793
119	249	791
120	251	788
121	253	786
122	255	783
123	257	781
124	259	778
125	261	776
126	263	773
127	265	771
128	267	768
129	269	766
130	271	763
131	272	760
132	274	758
133	276	756
134	278	753
135	280	751
136	282	749
137	284	746
138	286	744
139	288	741
140	290	739
141	292	737
142	294	735
143	296	733
144	298	730
145	300	728
146	302	726
147	304	723
148	306	721
149	308	719
150	310	717
151	312	715
152	314	713
153	316	711
154	318	709
155	320	707
156	322	705
157	325	705
158	328	703
159	330	702
160	332	700
161	334	698
162	337	696
163	339	694
164	341	692
165	343	690
166	345	688
167	347	686
168	349	684
169	351	682
170	353	680
171	358	683
172	360	681
173	362	679
174	364	677
175	367	675
176	369	673
177	371	671
178	373	669
179	376	669
180	378	667
181	380	664
182	382	662
183	384	659
184	386	657
185	388	655
186	389	652
187	391	650
188	393	648
189	395	645
190	397	643
191	399	640
192	401	638
193	403	635
194	405	633
195	406	631
196	408	628
197	410	626
198	412	624
199	414	621
200	416	619
201	418	617
202	420	615
203	422	612
204	424	610
205	426	608
206	428	606
207	430	604
208	432	602
209	434	600
210	436	598
211	438	596
212	440	594
213	443	592
214	445	589
215	447	588
216	449	586
217	451	584
218	453	582
219	456	580
220	458	578
221	460	577
222	463	575
223	465	573
224	467	571
225	470	569
226	472	568
227	474	566
228	476	564
229	479	562
230	481	560
231	483	559
232	486	557
233	488	555
234	490	553
235	494	553
236	497	551
237	500	550
238	503	549
239	505	548
240	508	546
241	510	544
242	512	542
243	514	540
244	517	538
245	519	536
246	521	534
247	526	535
248	529	533
249	531	531
250	533	529
251	535	527
252	537	525
253	540	523
254	542	520
255	544	518
256	546	516
257	548	514
258	550	512
259	552	510
260	555	508
261	557	506
262	560	504
263	562	502
264	564	500
265	566	498
266	568	496
267	571	494
268	573	492
269	575	490
270	578	488
271	580	486
272	582	484
273	584	482
274	587	480
275	589	478
276	591	476
277	593	474
278	596	472
279	598	470
280	600	468
281	603	466
282	606	464
283	608	463
284	611	461
285	614	459
286	616	457
287	619	455
288	622	454
